FIR_No,Crime_Type,District,Police_Station,Date,Victim_Name,Victim_Age,Victim_Gender,Suspect_Name,Weapon,Status,Latitude,Longitude,Severity
FIR1881,Assault,Kalaburagi,Traffic,2024-10-14,Anita Mishra,68,Female,Jyoti Parekh,Vehicle,Closed,15.248827,75.285693,5
FIR1882,Cyber Crime,Kalaburagi,Central,2025-04-25,Siya Mitra,35,Male,Priya Nanda,Gun,Open,17.260525,75.65077,4
FIR1883,Fraud,Hubballi-Dharwad,Central,2024-11-19,Falan Gopal,73,Male,Aarav Khosla,Vehicle,Under Investigation,13.923746,77.476863,4
FIR1884,Robbery,Kalaburagi,East,2025-07-10,Vidhi Mangal,70,Male,Ansh Trivedi,Gun,Open,15.451627,76.575509,1
FIR1885,Theft,Bengaluru Urban,Rural,2025-03-02,Chandresh Dugar,62,Male,Yochana Butala,Rod,Closed,13.097478,77.827966,10
FIR1886,Kidnapping,Bengaluru Urban,Rural,2025-05-17,Mekhala Nayak,44,Female,Ranbir Sood,Unknown,Under Investigation,12.477896,77.231321,10
FIR1887,Assault,Bengaluru Urban,South,2024-08-10,Anay Purohit,55,Female,Megha Kala,Rod,Under Investigation,12.601104,76.472081,3
FIR1888,Kidnapping,Shivamogga,Traffic,2024-09-20,Samuel Bhavsar,56,Female,Laksh Tak,Gun,Closed,11.740978,76.013574,5
FIR1889,Vehicle Theft,Mangaluru,West,2025-01-12,Isaac Sani,23,Female,Omkaar Rege,Unknown,Open,14.511246,77.016342,2
FIR1890,Cyber Crime,Mysuru,Rural,2025-01-29,Yochana Varkey,35,Male,Charan Prakash,Gun,Under Investigation,17.116056,75.829514,7
FIR1891,Murder,Shivamogga,Traffic,2025-03-15,Watika Kurian,20,Male,Gunbir Ratta,Rod,Open,16.712233,75.991176,9
FIR1892,Assault,Shivamogga,South,2025-04-22,Girik Bail,18,Female,Ria Lata,Rod,Under Investigation,14.103761,74.152388,1
FIR1893,Robbery,Bengaluru Urban,Central,2025-12-18,Imaran Majumdar,57,Female,Jeet Vig,Unknown,Closed,14.870764,76.566416,7
FIR1894,Cyber Crime,Belagavi,Rural,2024-12-06,Hamsini Sinha,28,Male,Hitesh Bedi,None,Closed,11.844045,78.736739,3
FIR1895,Cyber Crime,Hubballi-Dharwad,South,2024-06-29,Jagrati Chacko,38,Male,Aarav Jhaveri,Knife,Under Investigation,14.963655,77.971188,10
FIR1896,Cyber Crime,Tumakuru,Traffic,2025-04-18,Ayushman Dayal,18,Male,Warhi Bose,Gun,Open,14.040263,77.453084,8
FIR1897,Cyber Crime,Kalaburagi,Traffic,2025-08-13,Netra Gaba,31,Female,Ishaan Chadha,Vehicle,Under Investigation,12.761483,78.316642,3
FIR1898,Drug Trafficking,Bengaluru Urban,Traffic,2026-01-07,Aryan Shanker,35,Male,Anthony Chakraborty,Knife,Under Investigation,17.673326,75.831341,10
FIR1899,Kidnapping,Tumakuru,South,2025-06-13,Madhav Kakar,71,Male,Nakul Grover,Gun,Under Investigation,14.883124,74.48119,8
FIR1900,Robbery,Shivamogga,Central,2025-06-02,Garima Nair,29,Female,Chaman Kulkarni,Vehicle,Open,17.597049,75.433333,6
FIR1901,Burglary,Mysuru,Rural,2025-04-13,Thomas Dutt,58,Female,Farhan Radhakrishnan,Knife,Closed,16.232439,75.164269,10
FIR1902,Robbery,Bengaluru Urban,North,2025-03-29,Ryan Srivastava,57,Male,Darpan Ramaswamy,None,Under Investigation,14.113511,77.033928,7
FIR1903,Theft,Bengaluru Urban,Rural,2026-02-16,Ekbal Pandit,55,Male,Lavanya Sachar,Vehicle,Closed,15.042529,78.78714,9
FIR1904,Murder,Shivamogga,South,2026-02-16,Ekaraj Badami,32,Male,Yahvi Baral,Rod,Open,15.714214,78.434649,5
FIR1905,Murder,Hubballi-Dharwad,North,2025-07-15,Xalak Swamy,60,Male,Lopa Pau,Vehicle,Open,11.820237,77.732373,7
FIR1906,Fraud,Tumakuru,Market,2026-04-11,Zansi Saraf,43,Female,Chaitanya Ram,Rod,Closed,16.013261,77.536893,10
FIR1907,Theft,Bengaluru Urban,South,2025-01-11,Yashasvi Chandran,43,Female,Ranveer Nayar,Gun,Under Investigation,11.657662,74.208586,6
FIR1908,Robbery,Shivamogga,Traffic,2026-04-19,Janya Saxena,22,Female,Faraj Ratta,Vehicle,Under Investigation,18.214677,76.810149,5
FIR1909,Murder,Ballari,Rural,2026-02-05,Amara Balay,19,Male,Geetika Goswami,Rod,Under Investigation,15.260447,76.099538,8
FIR1910,Fraud,Hubballi-Dharwad,East,2026-06-06,Henry Doshi,50,Male,Liam Prakash,Vehicle,Under Investigation,14.011712,77.090622,5
FIR1911,Vehicle Theft,Ballari,East,2024-07-01,Madhav Dugal,34,Male,Niharika Kapadia,Knife,Closed,13.247009,77.807365,2
FIR1912,Vehicle Theft,Ballari,Rural,2025-09-18,Elijah Buch,56,Male,Vivaan Khalsa,Rod,Closed,16.155056,74.346404,10
FIR1913,Theft,Ballari,Traffic,2026-06-14,Aadhya Shroff,51,Male,Neha Bhakta,Knife,Open,13.407454,75.009774,7
FIR1914,Drug Trafficking,Hubballi-Dharwad,Central,2026-03-25,Lila Sastry,25,Male,Eiravati Dixit,Rod,Under Investigation,15.955104,77.910981,2
FIR1915,Murder,Ballari,Market,2024-10-18,Divya Khalsa,69,Male,Ekantika Naidu,Knife,Open,12.333661,77.196909,1
FIR1916,Drug Trafficking,Shivamogga,North,2025-02-04,Bhanumati Sharma,49,Female,Eta Kar,Vehicle,Open,12.185367,74.987668,5
FIR1917,Vehicle Theft,Belagavi,West,2024-10-31,Zilmil Mangal,46,Female,Jason Puri,Rod,Open,16.350735,78.52207,6
FIR1918,Robbery,Shivamogga,East,2026-02-04,Chandani Bhattacharyya,32,Male,Onkar Sarna,Knife,Open,17.771235,77.392957,2
FIR1919,Vehicle Theft,Shivamogga,Rural,2026-06-08,Yug Bhattacharyya,45,Male,Ganga Nadkarni,Unknown,Under Investigation,14.258711,76.408018,7
FIR1920,Assault,Kalaburagi,North,2024-10-28,Yauvani Mahajan,73,Female,Hemal Sahota,Gun,Closed,16.12361,76.009332,8
FIR1921,Vehicle Theft,Tumakuru,West,2024-08-21,Bahadurjit Sunder,39,Male,Ojas Bhatti,Gun,Open,14.37681,76.397522,10
FIR1922,Robbery,Kalaburagi,Central,2025-08-07,Vinaya Thakur,24,Male,Maanas Verma,None,Under Investigation,15.768851,76.580883,9
FIR1923,Assault,Kalaburagi,Central,2025-06-02,Aishani Jhaveri,48,Male,Jalsa Kibe,Gun,Closed,14.550858,75.275895,6
FIR1924,Murder,Ballari,Market,2025-12-03,Balveer Desai,41,Female,Nitesh Varty,Gun,Open,17.196961,76.409964,1
FIR1925,Burglary,Bengaluru Urban,South,2025-01-13,Jack Krish,42,Male,Fariq Parsa,Unknown,Closed,12.496287,77.655736,6
FIR1926,Murder,Belagavi,West,2025-01-29,Akshay Amble,39,Male,Balendra Tata,None,Closed,18.237879,78.049251,5
FIR1927,Vehicle Theft,Mysuru,South,2025-07-15,Vyanjana Srivastava,73,Female,Anamika Puri,Knife,Under Investigation,12.91283,74.901235,9
FIR1928,Robbery,Kalaburagi,Rural,2024-10-21,Januja Varty,38,Male,Gautami Seshadri,Knife,Under Investigation,14.553864,74.830949,4
FIR1929,Cyber Crime,Tumakuru,North,2024-07-20,Kala Om,73,Female,Orinder Agarwal,Rod,Closed,15.936898,76.285288,5
FIR1930,Robbery,Mangaluru,West,2024-09-30,Rudra Hari,66,Male,Andrew Shenoy,Unknown,Open,13.662859,76.803901,8
FIR1931,Drug Trafficking,Belagavi,South,2026-04-02,Yamini Ahuja,23,Female,Ayushman Brahmbhatt,Vehicle,Closed,18.122837,75.731432,6
FIR1932,Drug Trafficking,Hubballi-Dharwad,West,2025-08-02,Jonathan Lala,50,Female,Nathaniel Chaudhuri,Unknown,Open,12.747053,74.833784,4
FIR1933,Drug Trafficking,Bengaluru Urban,Market,2025-06-16,Eshana Char,49,Female,Ikshita Rege,Gun,Closed,16.400055,76.692792,10
FIR1934,Drug Trafficking,Hubballi-Dharwad,Market,2026-02-24,Hredhaan Raman,67,Female,Bhavini Pandey,Unknown,Closed,16.593899,78.4406,7
FIR1935,Drug Trafficking,Belagavi,South,2025-04-06,Pooja Hans,33,Female,Abdul Krishnamurthy,Vehicle,Closed,13.132938,77.151129,4
FIR1936,Murder,Shivamogga,West,2025-01-14,Ekbal Jaggi,72,Female,Adweta Keer,Rod,Closed,13.456784,76.039188,8
FIR1937,Drug Trafficking,Hubballi-Dharwad,Traffic,2025-10-15,Pushti Gala,39,Male,Aahana Chand,Unknown,Closed,16.499159,78.480035,8
FIR1938,Theft,Shivamogga,Central,2024-12-06,Balvan Hegde,32,Female,Manya Purohit,Rod,Closed,14.095429,75.479357,7
FIR1939,Robbery,Vijayapura,Rural,2026-03-31,Rajata Patil,46,Female,Onveer Barman,Unknown,Closed,17.557856,74.456144,7
FIR1940,Kidnapping,Vijayapura,Central,2024-07-17,Shivani Walia,37,Male,Aradhana Kadakia,Knife,Closed,15.472365,75.448929,7
FIR1941,Robbery,Tumakuru,Rural,2025-05-10,Jatin Magar,39,Male,Rehaan Krishnamurthy,Vehicle,Closed,12.835819,75.185603,3
FIR1942,Drug Trafficking,Belagavi,Market,2025-01-31,Leela Chacko,23,Male,Panini Nagi,Gun,Closed,13.858442,75.120885,8
FIR1943,Vehicle Theft,Kalaburagi,South,2024-12-16,Amaira Muni,19,Female,Ekalinga Goda,Gun,Under Investigation,15.110383,75.467235,9
FIR1944,Drug Trafficking,Kalaburagi,North,2024-12-21,Reyansh Pant,47,Male,Avni Gade,Unknown,Open,16.899924,78.482366,9
FIR1945,Burglary,Bengaluru Urban,Central,2024-09-12,Atharv Wagle,60,Female,Nitara Acharya,Rod,Under Investigation,15.993852,78.212072,9
FIR1946,Fraud,Vijayapura,Rural,2026-05-19,Harrison Wali,64,Male,Ekaja Chokshi,None,Under Investigation,14.088349,77.744843,5
FIR1947,Drug Trafficking,Ballari,South,2024-07-26,Girik Bhattacharyya,50,Female,Sai Srivastava,Knife,Open,17.975434,76.331693,10
FIR1948,Assault,Mysuru,South,2024-11-23,Chaitaly Muni,31,Male,Warinder Iyer,Unknown,Under Investigation,14.513775,76.391886,4
FIR1949,Theft,Shivamogga,South,2025-06-12,Aashi Bhargava,49,Female,Gaurang Bumb,Rod,Closed,15.32627,74.430621,8
FIR1950,Burglary,Vijayapura,Central,2024-10-21,Nikita Behl,67,Male,Osha Bir,None,Under Investigation,16.733093,78.21035,10
FIR1951,Kidnapping,Hubballi-Dharwad,Traffic,2026-02-13,Faras Hegde,68,Male,Advay Brar,Rod,Under Investigation,18.101598,78.742506,4
FIR1952,Theft,Bengaluru Urban,Rural,2025-01-03,Frado Ray,51,Male,Harshil Dey,Knife,Open,12.327483,74.636819,10
FIR1953,Drug Trafficking,Vijayapura,East,2026-06-17,Udyati Issac,29,Male,Alexander Srinivas,Vehicle,Closed,12.101721,78.45891,3
FIR1954,Theft,Kalaburagi,West,2025-04-28,Dipta Dass,62,Female,Krishna Palan,Knife,Open,17.976446,75.042042,9
FIR1955,Assault,Bengaluru Urban,East,2026-02-17,Udyati Murthy,20,Female,Inaya Sama,Unknown,Closed,13.694379,74.828158,2
FIR1956,Assault,Vijayapura,South,2026-04-30,Farhan Badami,29,Female,Darsh Gokhale,Gun,Open,13.996237,77.360389,8
FIR1957,Assault,Bengaluru Urban,South,2024-09-22,Madhavi Subramaniam,22,Male,Aarav Kapoor,Unknown,Closed,11.937906,76.528876,1
FIR1958,Burglary,Shivamogga,Market,2024-07-09,Rohan Basak,50,Female,Darika Kurian,None,Under Investigation,13.25782,78.756897,10
FIR1959,Robbery,Mangaluru,South,2025-02-16,Adya Saran,36,Female,Viraj Handa,None,Open,16.240327,74.683159,9
FIR1960,Fraud,Mysuru,Market,2026-03-03,Gauri Gokhale,23,Female,Shivansh Konda,Rod,Open,11.675791,77.623846,3
FIR1961,Murder,Tumakuru,South,2026-04-17,Nisha Deep,33,Male,Damini Bala,Rod,Open,12.415626,76.56903,7
FIR1962,Burglary,Bengaluru Urban,Traffic,2025-01-15,Eshana Kannan,28,Male,Gopal Krishna,Unknown,Under Investigation,17.897753,76.424396,6
FIR1963,Theft,Mangaluru,East,2025-10-14,Mitali Subramaniam,18,Male,Warda Arora,None,Open,12.343765,74.057815,2
FIR1964,Murder,Belagavi,Central,2026-02-01,Kamya Batta,57,Female,Faqid Bera,Vehicle,Closed,15.811088,78.240692,5
FIR1965,Vehicle Theft,Hubballi-Dharwad,Rural,2025-03-04,Rushil Mittal,48,Female,Karan Bhasin,Knife,Open,14.237798,75.88633,5
FIR1966,Robbery,Ballari,Rural,2026-03-21,Tristan Karnik,36,Male,Shivansh Vasa,Unknown,Closed,16.773543,77.173189,5
FIR1967,Robbery,Tumakuru,South,2025-08-24,Ishani Srinivasan,40,Male,Zashil Setty,None,Under Investigation,16.288929,74.364743,1
FIR1968,Theft,Shivamogga,Rural,2026-04-27,Avni Mand,28,Female,Tamanna Mannan,None,Closed,13.943642,78.746972,3
FIR1969,Assault,Shivamogga,Traffic,2024-11-19,Ishaan Johal,41,Male,Falan Mann,Rod,Open,17.004267,78.200333,3
FIR1970,Murder,Mangaluru,Traffic,2024-12-17,Kamya Mital,47,Female,Dev Padmanabhan,Knife,Closed,15.140713,78.309026,10
FIR1971,Cyber Crime,Ballari,Market,2025-06-10,Gavin Mane,18,Female,Forum Modi,None,Closed,15.374854,77.681628,3
FIR1972,Drug Trafficking,Hubballi-Dharwad,East,2025-07-02,Yahvi Sridhar,46,Female,Indrajit Kade,Rod,Open,15.337252,74.234188,8
FIR1973,Drug Trafficking,Vijayapura,South,2026-05-04,Ladli Luthra,60,Male,Hemal Ghose,Gun,Open,17.203074,76.195004,7
FIR1974,Cyber Crime,Belagavi,Market,2025-05-11,Arjun Vasa,62,Male,Robert Yadav,Rod,Closed,13.586722,74.897845,7
FIR1975,Kidnapping,Hubballi-Dharwad,East,2024-10-04,Jyoti Sahota,58,Female,Noah Yogi,Gun,Closed,17.862322,77.304876,7
FIR1976,Cyber Crime,Tumakuru,East,2025-11-22,Vinaya Bhavsar,38,Male,Manbir Savant,None,Closed,14.741841,75.04703,7
FIR1977,Drug Trafficking,Shivamogga,East,2024-10-28,Charita Desai,53,Male,Abha Atwal,None,Closed,17.545233,76.097542,4
FIR1978,Vehicle Theft,Hubballi-Dharwad,Market,2024-06-28,Anmol Dugal,71,Female,Wahab Bhavsar,Gun,Under Investigation,12.337964,74.144529,4
FIR1979,Drug Trafficking,Hubballi-Dharwad,South,2025-08-29,Triveni Pall,71,Male,Triya Deep,Knife,Open,15.970172,76.602119,9
FIR1980,Vehicle Theft,Ballari,Rural,2025-09-20,Nirja Datta,72,Male,Yashica Khanna,Gun,Closed,16.838478,75.447303,1
FIR1981,Drug Trafficking,Tumakuru,West,2024-07-09,Anmol Chander,54,Male,Deepa Krishnamurthy,Unknown,Under Investigation,17.301206,76.019379,8
FIR1982,Burglary,Kalaburagi,North,2025-06-14,William Basu,45,Male,Champak Tandon,Rod,Under Investigation,16.51685,78.533136,3
FIR1983,Cyber Crime,Hubballi-Dharwad,Central,2025-09-19,Raghav Parsa,51,Male,Nitara Boase,Gun,Under Investigation,16.734991,77.006529,3
FIR1984,Murder,Belagavi,East,2024-07-13,Omisha Soni,30,Male,Abdul Chaudhary,Vehicle,Open,17.398944,78.269345,6
FIR1985,Assault,Mangaluru,Traffic,2026-03-23,Gaurika Shetty,39,Male,Robert Ghose,None,Closed,14.788297,76.598334,8
FIR1986,Burglary,Tumakuru,Rural,2024-10-07,Madhavi Ravi,42,Female,Jacob Dora,Unknown,Open,14.360347,74.652867,5
FIR1987,Theft,Kalaburagi,Rural,2024-08-22,Hamsini Loke,52,Male,Maya Maharaj,None,Open,16.2865,78.708424,10
FIR1988,Kidnapping,Hubballi-Dharwad,North,2024-07-09,Rudra Devi,20,Male,Daksh Maharaj,Unknown,Open,16.29365,78.16552,3
FIR1989,Burglary,Kalaburagi,Rural,2025-08-20,Dhruv D’Alia,48,Male,Upadhriti Kade,Vehicle,Open,16.597261,77.235957,9
FIR1990,Robbery,Kalaburagi,Market,2024-07-15,Veda Manne,47,Male,Dhriti Mittal,Gun,Open,13.058225,76.675325,10
FIR1991,Vehicle Theft,Belagavi,South,2024-11-16,Bimala Palan,62,Male,Chaaya Prashad,Knife,Under Investigation,12.051229,78.033702,2
FIR1992,Kidnapping,Hubballi-Dharwad,Central,2025-03-23,Rishi Dash,56,Male,Praneel Reddy,Vehicle,Open,17.423712,77.11433,6
FIR1993,Cyber Crime,Kalaburagi,North,2025-09-07,Vrinda Bumb,27,Male,Yochana Gala,Vehicle,Open,14.816931,78.548395,10
FIR1994,Drug Trafficking,Mysuru,Rural,2025-06-14,Frederick Gokhale,51,Female,Harshil Chaudhry,Unknown,Under Investigation,17.609944,78.422579,9
FIR1995,Theft,Kalaburagi,North,2024-10-07,Neelima Mistry,68,Male,Yashica Sachdev,Rod,Under Investigation,16.245371,77.932459,2
FIR1996,Kidnapping,Tumakuru,East,2024-09-03,Samaksh Bahri,75,Male,Harinakshi Anand,None,Under Investigation,17.253013,76.184577,5
FIR1997,Drug Trafficking,Shivamogga,West,2025-11-29,Janya Wason,55,Male,Gaurang Mohanty,Gun,Closed,15.981732,75.021535,7
FIR1998,Assault,Bengaluru Urban,Traffic,2025-08-08,Sanya Shanker,27,Male,Nikita Sangha,Knife,Under Investigation,14.047768,75.782618,9
FIR1999,Robbery,Mangaluru,Central,2025-04-25,Vedhika Sood,25,Male,Aashi Ratta,Gun,Under Investigation,12.264819,74.123115,7
FIR2000,Fraud,Belagavi,Central,2025-09-15,Abha Khare,19,Male,Radhika Balasubramanian,None,Under Investigation,15.392674,78.178726,9
FIR2001,Robbery,Belagavi,South,2024-09-08,Pratyush Shah,70,Female,Yutika Sinha,Unknown,Closed,13.56328,76.67227,7
FIR2002,Cyber Crime,Bengaluru Urban,East,2024-10-31,Ikshita Singhal,47,Male,Hemal Bala,None,Under Investigation,13.219894,78.027118,10
FIR2003,Assault,Hubballi-Dharwad,North,2024-12-06,Jackson Sarna,46,Female,Gunbir Narula,Knife,Open,17.445162,77.327647,6
FIR2004,Kidnapping,Mangaluru,North,2026-01-24,Theodore Gera,22,Female,Frado Gaba,None,Under Investigation,11.757227,74.304586,6
FIR2005,Theft,Mysuru,East,2024-08-04,Rachana Kashyap,32,Male,Sara Shankar,None,Under Investigation,18.408037,75.553424,9
FIR2006,Murder,Mangaluru,Traffic,2025-12-04,Oscar Chaudhari,66,Female,Divya Sengupta,Vehicle,Closed,16.741386,76.496907,9
FIR2007,Assault,Shivamogga,North,2025-02-20,Charan Gole,47,Male,Nihal Rama,Knife,Closed,14.635851,78.641757,7
FIR2008,Assault,Tumakuru,Central,2025-10-14,Vincent Kala,44,Male,Yadavi Pingle,Unknown,Under Investigation,15.810991,75.805269,8
FIR2009,Robbery,Mangaluru,Rural,2025-07-01,Charita Kalita,64,Male,Krish Sridhar,Vehicle,Closed,17.357764,76.009972,1
FIR2010,Robbery,Bengaluru Urban,Central,2026-03-02,Nihal Balan,30,Female,Urvi Sem,Knife,Under Investigation,17.738189,75.602756,7
FIR2011,Murder,Bengaluru Urban,North,2025-07-24,Yamini Desai,30,Male,Kavya Suri,Rod,Under Investigation,11.506027,75.769132,1
FIR2012,Burglary,Shivamogga,Rural,2026-02-26,Pavani Shankar,62,Female,Jagrati Saxena,Vehicle,Open,15.403374,74.74319,9
FIR2013,Vehicle Theft,Tumakuru,Market,2026-03-04,Aryan Zachariah,32,Male,Pratyush Divan,Unknown,Under Investigation,16.088862,76.175985,7
FIR2014,Murder,Ballari,West,2025-11-21,Aashi Dash,36,Male,Om Gopal,Rod,Open,16.436358,77.579605,6
FIR2015,Robbery,Shivamogga,West,2024-12-08,Pahal Kakar,27,Female,Oviya Sachdeva,Rod,Under Investigation,17.611043,76.62256,2
FIR2016,Drug Trafficking,Vijayapura,North,2025-09-28,Upkaar Kamdar,37,Female,Udant Sarkar,Unknown,Under Investigation,15.633667,78.120433,8
FIR2017,Theft,Mangaluru,West,2025-07-04,Faris Dewan,65,Female,Kevin Sheth,Knife,Open,15.045176,78.118097,2
FIR2018,Kidnapping,Bengaluru Urban,South,2024-07-21,Dayita Patel,51,Male,Tarak Khatri,Rod,Under Investigation,11.938534,74.853182,3
FIR2019,Robbery,Bengaluru Urban,East,2025-06-17,Radha Bhalla,62,Male,Michael Andra,None,Under Investigation,14.10167,75.188805,8
FIR2020,Burglary,Hubballi-Dharwad,South,2026-05-11,Radha Khosla,35,Male,Dayita Hegde,Rod,Open,13.110482,75.156848,6
FIR2021,Theft,Tumakuru,East,2025-10-17,Ria Rege,50,Male,Oeshi Kata,Knife,Open,18.216929,74.414461,9
FIR2022,Burglary,Kalaburagi,Traffic,2024-08-13,Neelima Buch,68,Female,Devika Narayan,Unknown,Open,16.244856,77.03057,3
FIR2023,Vehicle Theft,Belagavi,North,2025-07-24,Bhavna Mahajan,29,Male,Netra Lad,Knife,Open,12.310866,78.335232,9
FIR2024,Robbery,Shivamogga,Rural,2025-07-08,Ekanta Rege,55,Male,Tripti Agarwal,Gun,Open,15.285295,77.999602,8
FIR2025,Cyber Crime,Bengaluru Urban,South,2025-01-30,Ekanta Munshi,63,Male,Geetika Chad,Rod,Under Investigation,13.553865,77.276921,1
FIR2026,Theft,Mangaluru,South,2025-11-01,Fitan Padmanabhan,61,Female,Samaksh Kibe,Vehicle,Open,13.599772,74.950183,1
FIR2027,Burglary,Bengaluru Urban,Rural,2025-06-16,Nitara Sarna,44,Female,Keya Choudhry,Rod,Open,13.140994,76.975951,1
FIR2028,Burglary,Hubballi-Dharwad,West,2026-05-13,Rajata Vyas,46,Female,Mohini Nanda,Gun,Under Investigation,17.007103,74.060456,8
FIR2029,Kidnapping,Bengaluru Urban,East,2025-06-11,Yachana Tank,41,Female,Aarna Mallick,Unknown,Closed,17.753579,78.35545,2
FIR2030,Drug Trafficking,Mysuru,Central,2025-09-30,Jairaj Vaidya,39,Female,Ekbal Kanda,Knife,Closed,11.624777,76.610847,9
FIR2031,Assault,Kalaburagi,West,2026-01-27,Deepa Mishra,23,Male,Maanav Sani,None,Under Investigation,11.702866,76.428087,7
FIR2032,Kidnapping,Kalaburagi,Traffic,2026-05-18,Nimrat Mistry,34,Male,Falguni Lata,Gun,Open,16.675469,75.197328,8
FIR2033,Assault,Mysuru,Market,2025-01-01,Rajata Bumb,37,Male,Advik Wali,None,Under Investigation,15.548774,78.67384,9
FIR2034,Drug Trafficking,Belagavi,Central,2026-04-06,Reyansh Saraf,38,Female,Darika Shetty,Vehicle,Open,14.581211,77.748187,4
FIR2035,Drug Trafficking,Kalaburagi,North,2025-09-19,Chakrika Krishnan,30,Female,Dominic Saha,None,Under Investigation,16.543598,77.104007,2
FIR2036,Theft,Belagavi,Central,2024-11-02,Chaaya Agrawal,26,Female,Ganga Korpal,None,Closed,14.883729,78.445307,9
FIR2037,Drug Trafficking,Mangaluru,East,2025-01-05,Adya Sabharwal,40,Male,Yachana Bhatnagar,None,Under Investigation,14.017878,77.086957,7
FIR2038,Fraud,Vijayapura,East,2025-09-01,Amaira Gulati,31,Female,Bina Gupta,Knife,Under Investigation,12.275819,78.134203,6
FIR2039,Cyber Crime,Hubballi-Dharwad,Market,2024-08-03,Akshay Radhakrishnan,66,Male,Ira Chaudhary,None,Closed,14.061904,76.401029,1
FIR2040,Robbery,Bengaluru Urban,Central,2024-07-28,Nimrat Soman,38,Female,Vanya Varkey,Vehicle,Closed,16.027737,78.525613,7
FIR2041,Kidnapping,Ballari,Traffic,2025-08-20,Darpan D’Alia,71,Female,Advay Ramakrishnan,Vehicle,Under Investigation,15.305893,75.292871,6
FIR2042,Vehicle Theft,Kalaburagi,West,2025-08-29,Rajeshri Bandi,41,Female,Yamini Kibe,Rod,Open,11.912686,74.908457,3
FIR2043,Murder,Shivamogga,West,2026-04-13,Zehaan Suri,67,Male,Tristan Raju,None,Open,15.69874,76.846282,3
FIR2044,Vehicle Theft,Mangaluru,Traffic,2024-11-03,Chanakya Vig,44,Female,Aryan Srinivasan,Vehicle,Open,11.652435,74.200839,1
FIR2045,Fraud,Ballari,Rural,2024-07-22,Gaurang Oak,50,Male,Baghyawati Lal,None,Closed,13.052347,78.529802,10
FIR2046,Kidnapping,Shivamogga,East,2024-07-16,Aarush Ramachandran,44,Male,Tanish Khatri,Unknown,Under Investigation,17.424967,74.721955,9
FIR2047,Murder,Bengaluru Urban,Central,2026-04-16,Zinal Vig,44,Male,Zehaan Lala,Vehicle,Under Investigation,13.327299,77.949412,2
FIR2048,Theft,Tumakuru,West,2026-04-11,Samar Kulkarni,33,Male,Pavani Deep,Unknown,Under Investigation,13.21747,76.748423,1
FIR2049,Murder,Shivamogga,West,2026-03-16,Hredhaan Chowdhury,73,Male,Chavvi Munshi,None,Closed,18.141685,76.318403,6
FIR2050,Burglary,Mysuru,North,2025-12-27,Yahvi Mutti,27,Male,Anvi Madan,Knife,Closed,13.139398,74.14753,1
FIR2051,Theft,Kalaburagi,West,2025-12-26,Wazir Mody,21,Female,Kashish Buch,Unknown,Closed,17.771138,78.140275,7
FIR2052,Robbery,Kalaburagi,Market,2024-10-27,Harita De,21,Male,Gaurang Dugar,Unknown,Closed,15.171399,77.904722,1
FIR2053,Theft,Hubballi-Dharwad,Rural,2026-01-25,Alka Chana,57,Female,Yachana Sha,Unknown,Under Investigation,16.697778,76.146072,3
FIR2054,Robbery,Shivamogga,South,2024-09-19,Yadavi Srinivas,21,Male,Kai Kothari,None,Closed,14.513786,76.369401,3
FIR2055,Robbery,Mysuru,Central,2025-12-09,Gaurangi Mohan,49,Female,Niharika Barman,Vehicle,Open,17.951456,74.164344,4
FIR2056,Vehicle Theft,Mangaluru,Rural,2024-11-02,Ayush Tara,42,Male,Nandini Badal,Rod,Under Investigation,17.714927,78.65916,10
FIR2057,Robbery,Bengaluru Urban,South,2025-07-13,Shivansh Chaudhary,39,Female,Vaishnavi Grover,Vehicle,Under Investigation,16.091233,75.783184,9
FIR2058,Cyber Crime,Mysuru,East,2025-06-20,Bishakha Hari,73,Female,Oscar Aurora,Vehicle,Under Investigation,15.604325,77.379222,4
FIR2059,Assault,Shivamogga,West,2026-02-21,Bimala Tiwari,53,Male,Sanya Sarraf,Knife,Closed,11.794911,74.208562,8
FIR2060,Drug Trafficking,Bengaluru Urban,East,2025-12-28,Shaurya Singh,66,Male,Gautami Issac,Knife,Under Investigation,14.882626,75.888589,10
FIR2061,Theft,Bengaluru Urban,West,2025-04-22,Samuel Warrior,43,Female,Bina Dhingra,None,Closed,14.086879,75.054119,10
FIR2062,Cyber Crime,Vijayapura,North,2025-10-21,Darpan Jain,53,Female,Jagrati Gaba,Gun,Open,11.533141,75.024647,1
FIR2063,Assault,Mysuru,West,2024-07-24,Anika Pai,36,Male,Balvan Chaudry,Knife,Closed,16.240333,74.375107,9
FIR2064,Robbery,Mangaluru,Rural,2026-05-05,Fitan Chokshi,23,Female,Darika Lall,Knife,Open,18.143997,78.337135,3
FIR2065,Cyber Crime,Mysuru,Market,2025-10-19,Ikbal Baral,64,Male,Saumya Mammen,Knife,Under Investigation,16.872247,76.6205,9
FIR2066,Cyber Crime,Belagavi,South,2024-11-16,Nathan Sami,72,Male,Qarin Master,Knife,Closed,17.157995,75.938756,1
FIR2067,Robbery,Ballari,South,2024-07-14,Nathaniel Kumer,69,Male,Tristan Gala,Vehicle,Closed,15.794971,76.153844,7
FIR2068,Vehicle Theft,Mysuru,Market,2024-07-16,Jeevika Varkey,62,Female,Isaac Karnik,None,Closed,16.830727,74.790427,6
